 countF | countG |  h | f.x | f.y | g.x | g.y
    0   |    0   |  # |   # |   # |   # |   #
    0   |    1   |  # |   # |   # |   2 |   #
    0   |    6   |  6 |   # |   # |   4 |   0
    0   |    2   |  # |   # |   # |   2 |   7
    0   |    3   |  5 |   # |   # |   2 |   7
    0   |    4   |  5 |   # |   # |   4 |   7
    0   |    5   |  6 |   # |   # |   4 |   7
    1   |    0   |  # |   9 |   # |   # |   #
    1   |    1   |  # |   9 |   # |   2 |   #
    1   |    6   |  6 |   9 |   # |   4 |   0
    1   |    6   |  6 |   9 |   # |   4 |   0
    1   |    2   |  # |   9 |   # |   2 |   7
    1   |    3   |  5 |   9 |   # |   2 |   7
    1   |    4   |  5 |   9 |   # |   4 |   7
    1   |    5   |  6 |   9 |   # |   4 |   7
    2   |    0   |  # |   9 |   3 |   # |   #
    2   |    1   |  # |   9 |   3 |   2 |   #
    4   |    6   | 12 |   9 |   3 |   4 |   0
    2   |    2   |  # |   9 |   3 |   2 |   7
    4   |    5   | 12 |   9 |   3 |   4 |   7
    2   |    6   |  6 |   9 |   3 |   4 |   0
    2   |    2   |  # |   9 |   3 |   2 |   7
    2   |    3   |  5 |   9 |   3 |   2 |   7
    2   |    4   |  5 |   9 |   3 |   4 |   7
    2   |    5   |  6 |   9 |   3 |   4 |   7
    3   |    1   |  3 |   9 |   3 |   2 |   #
    3   |    2   |  3 |   9 |   3 |   2 |   7
    3   |    6   |  3 |   9 |   3 |   4 |   0
    3   |    6   |  6 |   9 |   3 |   4 |   0
    3   |    2   |  3 |   9 |   3 |   2 |   7
    3   |    6   |  3 |   9 |   3 |   4 |   0
    3   |    2   |  3 |   9 |   3 |   2 |   7
    3   |    3   |  3 |   9 |   3 |   2 |   7
    3   |    3   |  5 |   9 |   3 |   2 |   7
    3   |    4   |  3 |   9 |   3 |   4 |   7
    3   |    4   |  5 |   9 |   3 |   4 |   7
    3   |    5   |  3 |   9 |   3 |   4 |   7
    3   |    5   |  6 |   9 |   3 |   4 |   7
    3   |    6   |  6 |   9 |   3 |   4 |   0
    3   |    2   |  3 |   9 |   3 |   2 |   7
    3   |    3   |  5 |   9 |   3 |   2 |   7
    3   |    4   |  5 |   9 |   3 |   4 |   7
    3   |    5   |  6 |   9 |   3 |   4 |   7
    4   |    0   | 12 |   9 |   3 |   # |   #
    4   |    1   | 12 |   9 |   3 |   2 |   #
    4   |    6   | 12 |   9 |   3 |   4 |   0
    4   |    6   |  6 |   9 |   3 |   4 |   0
    4   |    6   |  6 |   9 |   3 |   4 |   0
    4   |    2   | 12 |   9 |   3 |   2 |   7
    4   |    3   | 12 |   9 |   3 |   2 |   7
    4   |    4   | 12 |   9 |   3 |   4 |   7
    4   |    5   | 12 |   9 |   3 |   4 |   7
    3   |    0   |  3 |   9 |   3 |   # |   #
    4   |    3   |  5 |   9 |   3 |   2 |   7
    4   |    4   |  5 |   9 |   3 |   4 |   7
    4   |    5   |  6 |   9 |   3 |   4 |   7
